year,sex,name,n,prop
1880,F,May,462,0.00473336
1880,F,Mamie,436,0.00446698
1880,F,Blanche,427,0.00437478
1880,F,Stella,414,0.00424159
1880,F,Ellen,411,0.00421085
1880,F,Nancy,410,0.0042006
1880,F,Effie,406,0.00415962
1880,F,Sallie,404,0.00413913
1880,F,Nettie,403,0.00412889
1880,F,Della,391,0.00400594
1880,F,Lizzie,388,0.00397521
1880,F,Flora,365,0.00373956
1880,F,Susie,361,0.00369858
1880,F,Maud,345,0.00353465
1880,F,Mae,344,0.00352441
1880,F,Etta,323,0.00330926
1880,F,Harriet,319,0.00326828
1880,F,Sadie,317,0.00324778
1880,F,Caroline,306,0.00313509
1880,F,Katie,303,0.00310435
1880,F,Lydia,302,0.0030941
1880,F,Elsie,301,0.00308386
1880,F,Kate,299,0.00306337
1880,F,Susan,286,0.00293018
1880,F,Mollie,283,0.00289944
1880,F,Alma,277,0.00283797
1880,F,Addie,274,0.00280723
1880,F,Georgia,259,0.00265355
1880,F,Eliza,252,0.00258183
1880,F,Lulu,249,0.0025511
1880,F,Nannie,248,0.00254085
1880,F,Lottie,245,0.00251012
1880,F,Amanda,241,0.00246914
1880,F,Belle,238,0.0024384
1880,F,Charlotte,237,0.00242815
1880,F,Rebecca,236,0.00241791
1880,F,Ruth,234,0.00239742
1880,F,Viola,229,0.00234619
1880,F,Olive,224,0.00229496
1880,F,Amelia,221,0.00226423
1880,F,Hannah,221,0.00226423
1880,F,Jane,215,0.00220276
1880,F,Virginia,213,0.00218227
1880,F,Emily,210,0.00215153
1880,F,Matilda,210,0.00215153
1880,M,John,9655,0.08154561
1880,M,William,9532,0.08050676
1880,M,James,5927,0.05005912
1880,M,Charles,5348,0.04516892
1880,M,George,5126,0.04329392
1880,M,Frank,3242,0.02738176
1880,M,Joseph,2632,0.02222973
1880,M,Thomas,2534,0.02140203
1880,M,Henry,2444,0.02064189
1880,M,Robert,2415,0.02039696
1880,M,Edward,2364,0.01996622
1880,M,Harry,2152,0.01817568
1880,M,Walter,1755,0.01482264
1880,M,Arthur,1599,0.01350507
1880,M,Fred,1569,0.01325169
1880,M,Albert,1493,0.0126098
1880,M,Samuel,1024,0.00864865
1880,M,David,869,0.00733953
1880,M,Louis,828,0.00699324
1880,M,Joe,731,0.00617399
1880,M,Charlie,730,0.00616554
1880,M,Clarence,730,0.00616554
1880,M,Richard,728,0.00614865
1880,M,Andrew,644,0.00543919
1880,M,Daniel,643,0.00543074
1880,M,Ernest,615,0.00519426
1880,M,Will,588,0.00496622
1880,M,Jesse,569,0.00480574
1880,M,Oscar,544,0.00459459
1880,M,Lewis,517,0.00436655
1880,M,Peter,496,0.00418919
1880,M,Benjamin,490,0.00413851
1880,M,Frederick,483,0.00407939
1880,M,Willie,476,0.00402027
1880,M,Alfred,469,0.00396115
1880,M,Sam,457,0.0038598
1880,M,Roy,440,0.00371622
1880,M,Herbert,424,0.00358108
1880,M,Jacob,404,0.00341216
1880,M,Tom,399,0.00336993
1880,M,Elmer,373,0.00315034
1880,M,Carl,372,0.00314189
1880,M,Lee,361,0.00304899
1880,M,Howard,357,0.0030152
1880,M,Martin,357,0.0030152
1880,M,Michael,354,0.00298986
1880,M,Bert,348,0.00293919
1880,M,Herman,347,0.00293074
1880,M,Jim,345,0.00291385
1880,M,Francis,344,0.00290541
1880,M,Harvey,344,0.00290541
1880,M,Earl,335,0.00282939
1880,M,Eugene,328,0.00277027
1880,M,Ralph,317,0.00267736
1880,M,Ed,310,0.00261824
1880,M,Claude,309,0.0026098
1880,M,Edwin,309,0.0026098
1880,M,Ben,305,0.00257601
1880,M,Charley,305,0.00257601
1880,M,Paul,301,0.00254223
1880,M,Edgar,283,0.0023902
1880,M,Isaac,274,0.00231419
1880,M,Otto,271,0.00228885
1880,M,Luther,260,0.00219595
1880,M,Lawrence,257,0.00217061
1880,M,Ira,249,0.00210304
1880,M,Patrick,248,0.00209459
1880,M,Guy,239,0.00201858
1880,M,Oliver,234,0.00197635
1880,M,Theodore,232,0.00195946
1880,M,Hugh,224,0.00189189
1880,M,Clyde,221,0.00186655
1880,M,Alexander,211,0.00178209
1880,M,August,210,0.00177365
1880,M,Floyd,206,0.00173986
1880,M,Homer,205,0.00173142
1880,M,Jack,204,0.00172297
1880,M,Leonard,200,0.00168919
1880,M,Horace,199,0.00168074
1880,M,Marion,189,0.00159628
1880,M,Philip,186,0.00157095
1880,M,Allen,184,0.00155405
1880,M,Archie,183,0.00154561
1880,M,Stephen,176,0.00148649
1880,M,Chester,168,0.00141892
1880,M,Willis,166,0.00140203
1880,M,Raymond,165,0.00139358
1880,M,Rufus,163,0.00137669
1880,M,Warren,158,0.00133446
1880,M,Jessie,154,0.00130068
1880,M,Milton,149,0.00125845
1880,M,Alex,147,0.00124155
1880,M,Leo,147,0.00124155
1880,M,Julius,143,0.00120777
1880,M,Ray,142,0.00119932
1880,M,Sidney,142,0.00119932
1880,M,Bernard,140,0.00118243
1880,M,Dan,140,0.00118243
1880,M,Jerry,136,0.00114865
1880,M,Calvin,134,0.00113176
1880,M,Perry,134,0.00113176
1881,F,Mary,6919,0.0699914
1881,F,Anna,2698,0.0272925
1881,F,Emma,2034,0.02057559
1881,F,Elizabeth,1852,0.01873451
1881,F,Margaret,1658,0.01677204
1881,F,Minnie,1653,0.01672146
1881,F,Ida,1439,0.01455667
1881,F,Annie,1326,0.01341359
1881,F,Bertha,1324,0.01339335
1881,F,Alice,1308,0.0132315
1881,F,Clara,1242,0.01256386
1881,F,Sarah,1226,0.012402
1881,F,Ella,1148,0.01161297
1881,F,Nellie,1096,0.01108695
1881,F,Grace,1089,0.01101613
1881,F,Florence,1046,0.01058115
1881,F,Martha,1044,0.01056092
1881,F,Cora,969,0.00980224
1881,F,Laura,962,0.00973142
1881,F,Carrie,958,0.00969096
1881,F,Maude,923,0.00933691
1881,F,Bessie,903,0.00913459
1881,F,Mabel,893,0.00903343
1881,F,Gertrude,791,0.00800162
1881,F,Ethel,788,0.00797127
1881,F,Jennie,784,0.00793081
1881,F,Edith,778,0.00787011
1881,F,Hattie,775,0.00783977
1881,F,Mattie,754,0.00762733
1881,F,Julia,737,0.00745536
1881,F,Rose,734,0.00742502
1881,F,Lillian,723,0.00731374
1881,F,Lillie,678,0.00685853
1881,F,Eva,661,0.00668656
1881,F,Jessie,661,0.00668656
1881,F,Lula,655,0.00662587
1881,F,Myrtle,643,0.00650448
1881,F,Pearl,641,0.00648424
1881,F,Edna,637,0.00644378
1881,F,Catherine,635,0.00642355
1881,F,Ada,628,0.00635274
1881,F,Louise,617,0.00624146
1881,F,Helen,612,0.00619089
1881,F,Lucy,611,0.00618077
1881,F,Frances,586,0.00592787
1881,F,Dora,585,0.00591776
1881,F,Fannie,565,0.00571544
1881,F,Josephine,563,0.00569521
1881,F,Daisy,562,0.00568509
1881,F,Lena,555,0.00561428
1881,F,Maggie,532,0.00538162
1881,F,Katherine,504,0.00509838
1881,F,Rosa,500,0.00505791
1881,F,Marie,499,0.0050478
1881,F,Nora,498,0.00503768
1881,F,Effie,463,0.00468363
1881,F,Blanche,456,0.00461282
1881,F,May,451,0.00456224
1881,F,Nancy,429,0.00433969
1881,F,Della,428,0.00432957
1881,F,Agnes,424,0.00428911
1881,F,Nettie,419,0.00423853
1881,F,Sallie,416,0.00420818
1881,F,Stella,416,0.00420818
1881,F,Ellen,413,0.00417784
1881,F,Mamie,412,0.00416772
1881,F,Lizzie,396,0.00400587
1881,F,Susie,367,0.00371251
1881,F,Sadie,366,0.00370239
1881,F,Elsie,344,0.00347984
1881,F,Maud,328,0.00331799
1881,F,Flora,317,0.00320672
1881,F,Caroline,316,0.0031966
1881,F,Etta,316,0.0031966
1881,F,Mae,314,0.00317637
1881,F,Lulu,313,0.00316625
1881,F,Lydia,299,0.00302463
1881,F,Alma,293,0.00296394
1881,F,Susan,292,0.00295382
1881,F,Lottie,289,0.00292347
1881,F,Addie,287,0.00290324
1881,F,Mollie,281,0.00284255
1881,F,Katie,279,0.00282232
1881,F,Ruth,275,0.00278185
1881,F,Harriet,270,0.00273127
1881,F,Kate,267,0.00270093
1881,F,Amanda,263,0.00266046
1881,F,Nannie,258,0.00260988
1881,F,Georgia,256,0.00258965
1881,F,Emily,244,0.00246826
1881,F,Eliza,238,0.00240757
1881,F,Viola,237,0.00239745
1881,F,Amelia,235,0.00237722
1881,F,Willie,229,0.00231652
1881,F,Charlotte,227,0.00229629
1881,F,Rebecca,226,0.00228618
1881,F,Belle,219,0.00221537
1881,F,Kathryn,218,0.00220525
1881,F,Jane,216,0.00218502
1881,F,Olive,211,0.00213444
1881,M,John,8769,0.08098299
1881,M,William,8524,0.07872038
1881,M,James,5441,0.05024843
1881,M,George,4664,0.04307272
1881,M,Charles,4636,0.04281413
1881,M,Frank,2834,0.0261724
1881,M,Joseph,2456,0.02268152
1881,M,Henry,2339,0.021601
1881,M,Thomas,2282,0.0210746
1881,M,Edward,2177,0.02010491
1881,M,Robert,2140,0.01976321
1881,M,Harry,2002,0.01848876
1881,M,Walter,1670,0.01542269
1881,M,Arthur,1575,0.01454535
1881,M,Fred,1418,0.01309544
1881,M,Albert,1319,0.01218116
1881,M,Samuel,919,0.0084871
1881,M,David,750,0.00692636
1881,M,Louis,746,0.00688942
1881,M,Charlie,668,0.00616908
1881,M,Clarence,668,0.00616908
1881,M,Richard,641,0.00591973
1881,M,Joe,639,0.00590126
1881,M,Andrew,588,0.00543027
1881,M,Ernest,571,0.00527327
1881,M,Will,550,0.00507933
1881,M,Jesse,536,0.00495004
1881,M,Oscar,530,0.00489463
1881,M,Daniel,527,0.00486692
1881,M,Willie,498,0.0045991
1881,M,Benjamin,481,0.0044421
1881,M,Sam,481,0.0044421
1881,M,Alfred,466,0.00430358
1881,M,Roy,440,0.00406346
1881,M,Lewis,439,0.00405423
1881,M,Frederick,433,0.00399882
1881,M,Peter,428,0.00395264
1881,M,Elmer,388,0.00358324
1881,M,Jacob,381,0.00351859
1881,M,Herbert,369,0.00340777
1881,M,Carl,359,0.00331542
1881,M,Howard,359,0.00331542
1881,M,Tom,349,0.00322307
1881,M,Lee,342,0.00315842
1881,M,Ralph,329,0.00303836
1881,M,Martin,327,0.00301989
1881,M,Jim,323,0.00298295
1881,M,Earl,314,0.00289984
1881,M,Eugene,314,0.00289984
1881,M,Bert,312,0.00288137
1881,M,Edgar,312,0.00288137
1881,M,Herman,304,0.00280748
1881,M,Claude,302,0.00278901
1881,M,Michael,298,0.00275207
1881,M,Paul,291,0.00268743
1881,M,Ben,289,0.00266896
1881,M,Ira,286,0.00264125
1881,M,Harvey,282,0.00260431
1881,M,Chester,274,0.00253043
1881,M,Edwin,274,0.00253043
1881,M,Ed,272,0.00251196
1881,M,Charley,266,0.00245655
1881,M,Francis,259,0.0023919
1881,M,Isaac,258,0.00238267
1881,M,Luther,249,0.00229955
1881,M,Lawrence,244,0.00225338
1881,M,Oliver,238,0.00219796
1881,M,Clyde,232,0.00214255
1881,M,Otto,221,0.00204097
1881,M,Hugh,219,0.0020225
1881,M,Alexander,209,0.00193015
1881,M,Leonard,206,0.00190244
1881,M,Jack,197,0.00181932
1881,M,Raymond,195,0.00180085
1881,M,Patrick,188,0.00173621
1881,M,Guy,186,0.00171774
1881,M,Homer,181,0.00167156
1881,M,Floyd,178,0.00164386
1881,M,Theodore,178,0.00164386
1881,M,Allen,172,0.00158844
1881,M,August,172,0.00158844
1881,M,Marion,162,0.00149609
1881,M,Philip,156,0.00144068
1881,M,Warren,156,0.00144068
1881,M,Horace,152,0.00140374
1881,M,Dan,148,0.0013668
1881,M,Ray,148,0.0013668
1881,M,Garfield,147,0.00135757
1881,M,Stephen,147,0.00135757
1881,M,Emil,145,0.0013391
1881,M,Jessie,143,0.00132063
1881,M,Milton,143,0.00132063
1881,M,Willis,142,0.00131139
1881,M,Calvin,138,0.00127445
1881,M,Dave,135,0.00124674
1881,M,Bernard,130,0.00120057
1881,M,Julius,129,0.00119133
1881,M,Leroy,129,0.00119133
1881,M,Sidney,129,0.00119133
1881,M,Anthony,128,0.0011821
1882,F,Mary,8148,0.07042655
1882,F,Anna,3143,0.02716626
1882,F,Emma,2303,0.01990579
1882,F,Elizabeth,2186,0.01889451
1882,F,Minnie,2004,0.01732141
1882,F,Margaret,1821,0.01573966
1882,F,Ida,1673,0.01446043
1882,F,Alice,1542,0.01332815
1882,F,Bertha,1508,0.01303427
1882,F,Annie,1492,0.01289598
1882,F,Clara,1490,0.01287869
1882,F,Sarah,1410,0.01218722
1882,F,Florence,1322,0.0114266
1882,F,Martha,1229,0.01062276
1882,F,Ella,1206,0.01042396
1882,F,Grace,1195,0.01032888
1882,F,Laura,1151,0.00994857
1882,F,Bessie,1144,0.00988807
1882,F,Nellie,1138,0.00983621
1882,F,Maude,1089,0.00941268
1882,F,Cora,1076,0.00930032
1882,F,Carrie,1037,0.00896322
1882,F,Mabel,997,0.00861749
1882,F,Ethel,989,0.00854834
1882,F,Mattie,966,0.00834954
1882,F,Gertrude,939,0.00811617
1882,F,Jennie,934,0.00807295
1882,F,Rose,886,0.00765807
1882,F,Edith,876,0.00757163
1882,F,Hattie,859,0.00742469
1882,F,Helen,838,0.00724318
1882,F,Lillian,830,0.00717404
1882,F,Pearl,824,0.00712217
1882,F,Louise,813,0.0070271
1882,F,Julia,811,0.00700981
1882,F,Lillie,810,0.00700117
1882,F,Jessie,806,0.00696659
1882,F,Myrtle,803,0.00694066
1882,F,Edna,783,0.00676779
1882,F,Lula,780,0.00674186
1882,F,Eva,765,0.00661221
1882,F,Catherine,726,0.00627512
1882,F,Lena,697,0.00602446
1882,F,Ada,689,0.00595531
1882,F,Frances,681,0.00588617
1882,F,Lucy,673,0.00581702
1882,F,Fannie,650,0.00561822
1882,F,Daisy,648,0.00560093
1882,F,Josephine,638,0.0055145
1882,F,Maggie,627,0.00541942
1882,F,Dora,594,0.00513419
1882,F,Katherine,591,0.00510826
1882,F,Marie,591,0.00510826
1882,F,Agnes,565,0.00488353
1882,F,Effie,561,0.00484896
1882,F,Blanche,547,0.00472795
1882,F,Rosa,542,0.00468473
1882,F,Nora,539,0.0046588
1882,F,May,510,0.00440814
1882,F,Mamie,508,0.00439086
1882,F,Stella,506,0.00437357
1882,F,Lizzie,495,0.00427849
1882,F,Sallie,487,0.00420934
1882,F,Ellen,452,0.00390682
1882,F,Elsie,448,0.00387225
1882,F,Della,447,0.00386361
1882,F,Nancy,439,0.00379446
1882,F,Nettie,439,0.00379446
1882,F,Maud,432,0.00373396
1882,F,Susie,412,0.00356109
1882,F,Mae,406,0.00350923
1882,F,Sadie,391,0.00337958
1882,F,Flora,380,0.0032845
1882,F,Alma,368,0.00318078
1882,F,Etta,352,0.00304248
1882,F,Lydia,342,0.00295605
1882,F,Addie,341,0.0029474
1882,F,Katie,327,0.0028264
1882,F,Susan,326,0.00281775
1882,F,Ruth,323,0.00279182
1882,F,Georgia,320,0.00276589
1882,F,Lottie,319,0.00275725
1882,F,Viola,310,0.00267946
1882,F,Mollie,305,0.00263624
1882,F,Caroline,304,0.0026276
1882,F,Nannie,299,0.00258438
1882,F,Kate,293,0.00253252
1882,F,Olive,291,0.00251523
1882,F,Willie,291,0.00251523
1882,F,Harriet,289,0.00249795
1882,F,Amanda,288,0.0024893
1882,F,Eliza,280,0.00242016
1882,F,Lulu,279,0.00241151
1882,F,Virginia,274,0.0023683
1882,F,Emily,272,0.00235101
1882,F,Kathryn,272,0.00235101
1882,F,Esther,266,0.00229915
1882,F,Belle,264,0.00228186
1882,F,Rebecca,259,0.00223864
1882,F,Charlotte,257,0.00222136
1882,M,John,9557,0.07831617
1882,M,William,9298,0.07619375
1882,M,James,5892,0.04828281
1882,M,George,5193,0.04255476
1882,M,Charles,5091,0.04171891
1882,M,Frank,3176,0.02602617
1882,M,Joseph,2670,0.02187969
1882,M,Thomas,2610,0.02138801
1882,M,Henry,2579,0.02113397
1882,M,Robert,2500,0.0204866
1882,M,Edward,2477,0.02029812
1882,M,Harry,2232,0.01829043
1882,M,Walter,1805,0.01479132
1882,M,Arthur,1686,0.01381616
1882,M,Fred,1641,0.0134474
1882,M,Albert,1499,0.01228376
1882,M,Samuel,1003,0.00821922
1882,M,Louis,852,0.00698183
1882,M,David,838,0.00686711
1882,M,Clarence,837,0.00685891
1882,M,Charlie,753,0.00617056
1882,M,Richard,746,0.0061132
1882,M,Joe,739,0.00605584
1882,M,Andrew,673,0.00551499
1882,M,Will,666,0.00545763
1882,M,Jesse,660,0.00540846
1882,M,Ernest,642,0.00526096
1882,M,Oscar,625,0.00512165
1882,M,Daniel,594,0.00486762
1882,M,Sam,555,0.00454802
1882,M,Willie,541,0.0044333
1882,M,Alfred,523,0.0042858
1882,M,Roy,521,0.00426941
1882,M,Benjamin,478,0.00391704
1882,M,Carl,478,0.00391704
1882,M,Peter,461,0.00377773
1882,M,Frederick,457,0.00374495
1882,M,Elmer,441,0.00361384
1882,M,Lewis,441,0.00361384
1882,M,Herbert,431,0.00353189
1882,M,Lee,427,0.00349911
1882,M,Howard,422,0.00345814
1882,M,Ralph,407,0.00333522
1882,M,Paul,397,0.00325327
1882,M,Jim,396,0.00324508
1882,M,Jacob,390,0.00319591
1882,M,Tom,390,0.00319591
1882,M,Martin,387,0.00317133
1882,M,Earl,377,0.00308938
1882,M,Claude,356,0.00291729
1882,M,Herman,348,0.00285173
1882,M,Bert,341,0.00279437
1882,M,Eugene,341,0.00279437
1882,M,Ed,337,0.00276159
1882,M,Ben,334,0.00273701
1882,M,Francis,327,0.00267965
1882,M,Michael,321,0.00263048
1882,M,Edgar,308,0.00252395
1882,M,Edwin,305,0.00249936
1882,M,Chester,300,0.00245839
1882,M,Harvey,300,0.00245839
1882,M,Clyde,293,0.00240103
1882,M,Lawrence,287,0.00235186
1882,M,Luther,284,0.00232728
1882,M,Isaac,278,0.00227811
1882,M,Jack,271,0.00222075
1882,M,Charley,262,0.002147
1882,M,Guy,253,0.00207324
1882,M,Otto,252,0.00206505
1882,M,Patrick,249,0.00204047
1882,M,Ira,244,0.00199949
1882,M,Oliver,244,0.00199949
1882,M,Hugh,239,0.00195852
1882,M,August,234,0.00191755
1882,M,Theodore,232,0.00190116
1882,M,Floyd,231,0.00189296
1882,M,Leonard,231,0.00189296
1882,M,Raymond,230,0.00188477
1882,M,Alexander,225,0.00184379
1882,M,Allen,206,0.0016881
1882,M,Stephen,201,0.00164712
1882,M,Archie,195,0.0015979500000000001
1882,M,Ray,195,0.0015979500000000001
1882,M,Jessie,192,0.00157337
1882,M,Homer,190,0.00155698
1882,M,Warren,183,0.00149962
1882,M,Philip,182,0.00149142
1882,M,Horace,176,0.00144226
1882,M,Alex,172,0.00140948
1882,M,Eddie,169,0.00138489
1882,M,Julius,168,0.0013767
1882,M,Emil,157,0.00128656
1882,M,Marion,157,0.00128656
1882,M,Clifford,155,0.00127017
1882,M,Milton,155,0.00127017
1882,M,Leroy,152,0.00124559
1882,M,Dan,150,0.0012292
1882,M,Rufus,147,0.00120461
1882,M,Leo,146,0.00119642
1882,M,Sidney,146,0.00119642
1883,F,Mary,8012,0.06673386
1883,F,Anna,3306,0.02753646
1883,F,Emma,2367,0.01971531
1883,F,Elizabeth,2255,0.01878243
1883,F,Minnie,2035,0.01695
1883,F,Margaret,1881,0.0156673
1883,F,Bertha,1681,0.01400145
1883,F,Ida,1634,0.01360998
1883,F,Annie,1589,0.01323516
1883,F,Clara,1548,0.01289366
1883,F,Alice,1488,0.01239391
1883,F,Sarah,1359,0.01131943
1883,F,Grace,1307,0.01088631
1883,F,Florence,1298,0.01081135
1883,F,Martha,1255,0.01045319
1883,F,Ella,1251,0.01041988
1883,F,Nellie,1246,0.01037823
1883,F,Bessie,1241,0.01033658
1883,F,Laura,1183,0.00985349
1883,F,Ethel,1132,0.0094287
1883,F,Carrie,1108,0.0092288
1883,F,Maude,1096,0.00912884
1883,F,Mabel,1086,0.00904555
1883,F,Cora,1081,0.00900391
1883,F,Gertrude,923,0.00768789
1883,F,Lillian,907,0.00755462
1883,F,Jennie,904,0.00752963
1883,F,Hattie,895,0.00745467
1883,F,Pearl,886,0.0073797
1883,F,Mattie,883,0.00735472
1883,F,Edith,881,0.00733806
1883,F,Eva,879,0.0073214
1883,F,Rose,877,0.00730474
1883,F,Julia,875,0.00728808
1883,F,Helen,862,0.0071798
1883,F,Catherine,853,0.00710484
1883,F,Myrtle,851,0.00708818
1883,F,Louise,847,0.00705486
1883,F,Lillie,837,0.00697157
1883,F,Jessie,833,0.00693826
1883,F,Edna,823,0.00685496
1883,F,Lena,800,0.00666339
1883,F,Lula,790,0.0065801
1883,F,Ada,778,0.00648015
1883,F,Frances,710,0.00591376
1883,F,Josephine,697,0.00580548
1883,F,Fannie,696,0.00579715
1883,F,Lucy,663,0.00552228
1883,F,Maggie,663,0.00552228
1883,F,Daisy,659,0.00548897
1883,F,Dora,640,0.00533071
1883,F,Agnes,623,0.00518912
1883,F,Marie,622,0.00518079
1883,F,Blanche,610,0.00508084
1883,F,Nora,589,0.00490592
1883,F,Katherine,583,0.00485595
1883,F,May,532,0.00443115
1883,F,Mamie,531,0.00442283
1883,F,Stella,529,0.00440617
1883,F,Effie,507,0.00422292
1883,F,Rosa,507,0.00422292
1883,F,Ellen,500,0.00416462
1883,F,Lizzie,496,0.0041313
1883,F,Nettie,494,0.00411464
1883,F,Elsie,479,0.00398971
1883,F,Della,453,0.00377314
1883,F,Susie,436,0.00363155
1883,F,Maud,425,0.00353993
1883,F,Sadie,425,0.00353993
1883,F,Mae,423,0.00352327
1883,F,Nancy,412,0.00343165
1883,F,Sallie,409,0.00340666
1883,F,Flora,387,0.00322342
1883,F,Ruth,387,0.00322342
1883,F,Lydia,378,0.00314845
1883,F,Lottie,372,0.00309848
1883,F,Addie,362,0.00301518
1883,F,Katie,361,0.00300685
1883,F,Alma,359,0.0029902
1883,F,Etta,352,0.00293189
1883,F,Emily,342,0.0028486
1883,F,Harriet,341,0.00284027
1883,F,Viola,331,0.00275698
1883,F,Georgia,325,0.002707
1883,F,Susan,322,0.00268201
1883,F,Caroline,321,0.00267369
1883,F,Nannie,305,0.00254042
1883,F,Lulu,302,0.00251543
1883,F,Mollie,301,0.0025071
1883,F,Kate,294,0.0024488
1883,F,Olive,294,0.0024488
1883,F,Charlotte,291,0.00242381
1883,F,Kathryn,290,0.00241548
1883,F,Amanda,287,0.00239049
1883,F,Eliza,274,0.00228221
1883,F,Willie,264,0.00219892
1883,F,Amelia,262,0.00218226
1883,F,Belle,262,0.00218226
1883,F,Esther,260,0.0021656
1883,F,Irene,260,0.0021656
1883,M,John,8894,0.07907394
1883,M,William,8387,0.07456636
1883,M,James,5223,0.04643616
1883,M,Charles,4826,0.04290655
1883,M,George,4736,0.04210639
1883,M,Frank,2986,0.02654765
1883,M,Joseph,2515,0.02236013
1883,M,Henry,2383,0.02118655
1883,M,Robert,2334,0.02075091
1883,M,Thomas,2316,0.02059088
1883,M,Edward,2250,0.02000409
1883,M,Harry,2110,0.01875939
1883,M,Walter,1705,0.01515865
1883,M,Arthur,1591,0.01414511
1883,M,Fred,1502,0.01335384
1883,M,Albert,1496,0.0133005
1883,M,Samuel,937,0.00833059
1883,M,Clarence,837,0.00744152
1883,M,Louis,796,0.007077
1883,M,David,734,0.00652578
1883,M,Richard,649,0.00577007
1883,M,Charlie,643,0.00571672
1883,M,Ernest,641,0.00569894
1883,M,Andrew,623,0.00553891
1883,M,Daniel,615,0.00546778
1883,M,Joe,607,0.00539666
1883,M,Oscar,607,0.00539666
1883,M,Jesse,584,0.00519217
1883,M,Will,576,0.00512105
1883,M,Roy,556,0.00494323
1883,M,Benjamin,508,0.00451648
1883,M,Carl,480,0.00426754
1883,M,Sam,476,0.00423198
1883,M,Willie,474,0.00421419
1883,M,Alfred,457,0.00406305
1883,M,Peter,450,0.00400082
1883,M,Frederick,438,0.00389413
1883,M,Lewis,431,0.00383189
1883,M,Howard,429,0.00381411
1883,M,Elmer,423,0.00376077
1883,M,Herbert,422,0.00375188
1883,M,Earl,389,0.00345848
1883,M,Lee,388,0.00344959
1883,M,Tom,386,0.00343181
1883,M,Ralph,385,0.00342292
1883,M,Martin,377,0.0033518
1883,M,Herman,359,0.00319176
1883,M,Paul,358,0.00318287
1883,M,Jacob,356,0.00316509
1883,M,Clyde,336,0.00298728
1883,M,Eugene,325,0.00288948
1883,M,Jim,322,0.00286281
1883,M,Harvey,318,0.00282724
1883,M,Claude,315,0.00280057
1883,M,Michael,307,0.00272945
1883,M,Ben,306,0.00272056
1883,M,Edwin,299,0.00265832
1883,M,Edgar,292,0.00259609
1883,M,Chester,290,0.0025783
1883,M,Francis,285,0.00253385
1883,M,Lawrence,282,0.00250718
1883,M,Bert,273,0.00242716
1883,M,Charley,254,0.00225824
1883,M,Ed,247,0.002196
1883,M,Jack,242,0.00215155
1883,M,Otto,240,0.00213377
1883,M,Ira,239,0.00212488
1883,M,Raymond,233,0.00207153
1883,M,Luther,229,0.00203597
1883,M,Isaac,227,0.00201819
1883,M,Guy,224,0.00199152
1883,M,Oliver,219,0.00194706
1883,M,Floyd,217,0.00192928
1883,M,Hugh,215,0.0019115
1883,M,Patrick,213,0.00189372
1883,M,Homer,210,0.00186705
1883,M,August,209,0.00185816
1883,M,Ray,202,0.00179592
1883,M,Leonard,200,0.00177814
1883,M,Alexander,187,0.00166256
1883,M,Theodore,185,0.00164478
1883,M,Allen,175,0.00155587
1883,M,Horace,167,0.00148475
1883,M,Archie,166,0.00147586
1883,M,Philip,166,0.00147586
1883,M,Sidney,165,0.00146697
1883,M,Marion,163,0.00144919
1883,M,Julius,160,0.00142251
1883,M,Jessie,151,0.0013425
1883,M,Milton,149,0.00132472
1883,M,Warren,146,0.00129804
